domain,total,M,F,18-24,25-34,35-44,45-54,>=55
friends.boomtime.lv,28,1,27,0,27,1,0,0
tubuz.com,5,1,0,0,0,1,0,0
4ainik.net,1,0,1,0,0,0,1,0
rsgame.com,1,0,1,0,1,0,0,0
spravka.cpv.ru,3,3,0,0,0,3,0,0
tehstar.ru,1,1,0,0,0,1,0,0
dreamincode.net,7,7,0,4,3,0,0,0
legkiedengi.su,1,1,0,0,0,1,0,0
pozitiv-news.ru,8,3,5,1,4,2,1,0
shemalextube.net,26,6,2,0,6,0,2,0
fantasy-girls-hot.narod.ru,6,0,6,0,6,0,0,0
enterprise.huawei.com,32,29,3,2,4,26,0,0
goodvesti.ru,257,114,128,11,55,64,65,47
offnews.bg,16,16,0,0,0,16,0,0
liketka.com,9,3,6,3,4,1,1,0
2yougift.ru,19,7,11,6,6,2,4,0
sitesporta.net,5,1,4,0,4,1,0,0
coffeecompany.com.ua,5,5,0,0,5,0,0,0
parfum-laguna.ru,25,25,0,0,25,0,0,0
merojax.org,58,58,0,0,0,0,58,0
novonews.info,79,55,24,0,12,13,40,14
moskva.elektrichki.net,6,5,1,0,4,2,0,0
big-archive.ru,17,6,10,2,4,10,0,0
4runner.sovintel.ru,1,1,0,0,1,0,0,0
tvkinoradio.ru,32,7,25,0,21,11,0,0
bestchange.ru,6,5,1,0,1,5,0,0
jmo-msk.ru,4,1,3,0,1,0,3,0
glamday.ru,20,4,16,0,8,12,0,0
moscow-portal.info,1,0,1,0,0,0,1,0
tskservis.ru,1,0,1,0,0,0,1,0
nabalkone.ru,1,0,1,0,0,1,0,0
personbilar.volkswagen.se,1,1,0,0,0,0,1,0
coins-store.ru,1,1,0,0,0,1,0,0
vildis.su,1,1,0,0,0,0,1,0
nebankir.ru,16,11,5,0,14,0,2,0
optomvse.ru,72,53,7,0,25,10,6,19
kiev.devochki.com,16,16,0,0,0,4,12,0
pogoda.by,1,0,1,0,1,0,0,0
icelandcream.ru,2,0,2,2,0,0,0,0
primossa.ru,15,0,15,0,15,0,0,0
hhonors3.hilton.com,1,0,1,1,0,0,0,0
volnistye-popugai.ru,3,1,2,0,1,2,0,0
putevka.crimea.ua,3,3,0,0,3,0,0,0
orakul.ua,374,94,275,11,52,220,54,32
voronezh.rusplt.ru,1,1,0,0,0,1,0,0
sdmpro.ru,3,1,0,0,0,1,0,0
jopki.tv,66,37,27,0,34,3,26,1
hombiz.ru,31,28,3,0,25,2,4,0
homeorealhelp.ru,6,6,0,0,6,0,0,0
gazetadnovets.ru,4,0,4,0,4,0,0,0
xn----8sbpahw2al5bza9c.xn--p1ai,2,0,2,2,0,0,0,0
wow-light.clan.su,1,1,0,0,1,0,0,0
mobiline-penza.ru,1,0,1,0,0,1,0,0
softslot.com,35,20,15,2,13,19,1,0
062.ua,11,3,6,0,1,5,1,2
err.h18.ru,2,2,0,0,1,1,0,0
stellage.sclad.ru,2,2,0,0,2,0,0,0
thelabelfinder.com,3,3,0,0,2,0,1,0
forums.majorgeeks.com,2,2,0,0,2,0,0,0
sexkontact.ru,4,3,1,0,3,0,1,0
torrentz.to,4,3,1,3,1,0,0,0
kwitri.ru,1,0,1,0,1,0,0,0
torrentz.tf,7,6,0,0,0,6,0,0
metalportal.com.ua,13,13,0,0,13,0,0,0
srt.nissan-avtomir.ru,68,6,62,0,16,52,0,0
carhelp.info,2,2,0,0,2,0,0,0
bk-arkadia.ru,15,9,5,1,4,6,0,3
3wj.com,2,0,2,0,2,0,0,0
playoggygames.com,1,1,0,0,1,0,0,0
lestehno.ru,4,0,4,0,0,0,0,4
soviet-hockey.ru,2,2,0,0,0,2,0,0
naydem-vam.ru,4,1,3,0,4,0,0,0
autolawz.ru,1,1,0,0,1,0,0,0
profimedika.ru,3,1,1,1,0,1,0,0
jadoba.ru,8,6,2,0,7,1,0,0
mobile-info.ru,4,4,0,4,0,0,0,0
conversavia.ru,2,2,0,0,0,2,0,0
droda.ru,2,2,0,0,0,2,0,0
gardies.ru,46,46,0,0,0,0,46,0
sagarganatra.com,1,1,0,0,1,0,0,0
thilbo.diary.ru,2,0,2,2,0,0,0,0
pocsport.ru,11,11,0,0,11,0,0,0
anmarion.ru,1,1,0,0,0,1,0,0
turkompot.ru,1,0,1,0,0,0,1,0
journal-neo.org,11,9,0,0,9,0,0,0
secosystema.ru,4,0,4,0,0,4,0,0
engmaster.ru,4,1,3,0,2,0,2,0
softlook.ucoz.ru,6,5,1,0,2,1,3,0
artvalue.com,5,3,0,0,0,3,0,0
stroytrest63.ru,1,1,0,0,1,0,0,0
detmir.ru,9,1,8,0,9,0,0,0
spyshopmoscow.ru,3,3,0,0,0,3,0,0
akva-gid.ru,1,1,0,0,1,0,0,0
kirkat.com.ua,2,1,1,0,1,0,1,0
webformyself.com,11,9,1,2,5,2,1,0
odintsovo.biz,71,14,54,1,16,10,38,3
sozhgi-zhir.ru,13,13,0,0,13,0,0,0
mojrebenok.net,2,0,2,0,0,0,0,2
evakuator.autodealerr.ru,2,1,1,0,1,0,1,0
theescapegames.com,8,8,0,0,8,0,0,0
podruchka.su,1,0,1,0,0,0,0,1
travellife.com.ua,3,1,2,0,1,2,0,0
employment-center.ru,32,9,23,5,6,17,4,0
animeklab.ucoz.ru,1,1,0,0,0,1,0,0
smokersmag.com,1,1,0,0,0,1,0,0
teachmaterials.ru,2,2,0,2,0,0,0,0
newacropol.ru,52,25,17,2,14,15,11,0
internet-work.ucoz.ua,4,0,4,0,4,0,0,0
moscow.tvoyaspravka.ru,10,8,2,2,3,4,0,1
asokur.com.ua,1,0,1,0,1,0,0,0
domcinema.ru,9,9,0,0,0,6,3,0
na-salat.ru,2,2,0,0,2,0,0,0
kredit-guide.ru,5,1,4,2,2,1,0,0
irmino.org.ua,1,1,0,0,1,0,0,0
pitomez.ru,51,11,40,0,3,33,15,0
signalrp.ru,3,2,1,0,3,0,0,0
tribestan.ru,8,6,2,4,2,0,0,2
schoolguide.ru,6,1,5,0,3,3,0,0
sobityadnya.ru,126,109,11,0,6,18,38,58
gidroproect.ru,12,11,1,0,0,11,1,0
allpp.ru,3,2,1,0,0,0,1,2
q32.ru,9,5,4,0,3,6,0,0
pisos.mitula.com,8,0,8,0,0,8,0,0
livestory.com.ua,2,1,1,0,1,1,0,0
8af751d2bc9f8e293636bdbafaa649a8.mtproxy.yandex.net,2,2,0,2,0,0,0,0
sekretali.blogspot.ru,1,0,1,0,0,0,1,0
student-garant.ru,4,0,4,0,4,0,0,0
zakon-i-poryadok.com,5,2,3,0,2,0,3,0
novorossiysk.miltor.ru,6,2,4,0,2,0,4,0
qqpolka.fanat.ru,2,2,0,0,0,0,2,0
oko-kino.ru,98,83,14,2,59,23,8,5
pornosobaka.com,7,7,0,0,0,3,4,0
economuch.com,8,6,2,0,3,5,0,0
vitebskgirls.com,50,50,0,0,50,0,0,0
uamultivarka.com,2,0,2,0,0,0,2,0
dmitrykov.narod.ru,1,1,0,0,1,0,0,0
easysolution.su,5,5,0,0,5,0,0,0
bluzkioptom.ru,19,0,4,0,0,4,0,0
xn----7sbab9bicpdftxny.xn--p1ai,6,3,3,0,2,2,2,0
iadt.siemens.ru,1,1,0,0,0,1,0,0
lady-day.ru,5,2,3,0,0,2,0,3
lechimvmeste.ru,3,1,2,0,0,3,0,0
ictfax.org,1,1,0,0,1,0,0,0
kupilskazal.ru,1,1,0,0,0,0,1,0
govnoshow.ru,11,5,6,0,9,1,0,1
en.wulin.webzen.com,1,1,0,0,0,0,1,0
pontov.ucoz.net,2,2,0,0,2,0,0,0
another-kind-of-beauty-blog.blogspot.ru,2,0,2,0,2,0,0,0
two-players.ru,3,0,3,0,3,0,0,0
lovekino.tv,486,169,281,47,133,178,77,15
arsurgut.ru,2,2,0,0,2,0,0,0
kino-filmix.net,2,0,2,0,0,2,0,0
dvorik72.ru,1,1,0,0,1,0,0,0
pribor-service.ru,11,9,2,0,6,3,2,0
rcdirectonline.com,3,3,0,0,0,3,0,0
ru.urbandictionary.com,24,19,2,2,17,0,2,0
lipetsk.gorodrabot.ru,1,0,1,1,0,0,0,0
igryshki-optom.ru,2,0,2,0,2,0,0,0
xn----dtbkgcc4ai5bxg5a.xn--p1ai,16,0,16,16,0,0,0,0
kupi-uteplitel.ru,14,2,12,0,0,0,2,12
aesthetics.academic.ru,1,0,1,1,0,0,0,0
kinozanoza.ru,60,7,53,3,2,19,33,3
milano-home.ru,2,0,2,0,0,2,0,0
lp4.vlc4u.info,1,0,1,0,0,0,1,0
iron-man.moy.su,2,2,0,0,2,0,0,0
omartasatt.ru,180,1,179,0,0,9,171,0
pntd.ru,5,2,3,0,1,3,0,1
2013znakomstva.znakomstvas2014.com,2,2,0,0,0,2,0,0
fdp.hse.ru,10,10,0,0,10,0,0,0
blog-klubok.ru,4,3,1,0,1,2,1,0
1seconds.ru,1,1,0,0,0,0,1,0
voronezhskaya-obl.irr.ru,34,20,13,0,2,0,13,18
keezmovies.com,1,1,0,0,0,1,0,0
multzal.ru,2,0,2,0,2,0,0,0
denushka.narod.ru,2,2,0,0,0,2,0,0
cafe.artlebedev.ru,7,6,0,0,5,0,1,0
nudevista.tv,4936,3318,921,454,2240,1017,256,272
wikifamily.ru,1,1,0,0,1,0,0,0
electric-perm.ru,1,1,0,0,0,0,1,0
sterlitamakcity.ru,15,0,15,3,1,10,1,0
ochishenie-organizma24.ru,4,4,0,0,0,0,4,0
frenglish.ru,3,0,3,0,3,0,0,0
pvs24.ru,1,1,0,0,0,1,0,0
bt-energy.ru,4,0,4,0,0,0,0,4
xn--80aa5abtobgc.xn--p1ai,1,1,0,0,0,1,0,0
aquaresurs-eco.ru,4,4,0,0,1,3,0,0
igryzombi.ru,4,0,4,0,0,4,0,0
porno1.su,9,9,0,0,0,7,2,0
elwo.ru,56,53,2,11,34,4,1,5
strusami.ru,4,4,0,0,0,4,0,0
kvartira-s-super-remontom.ru,1,1,0,1,0,0,0,0
superjet.wikidot.com,32,7,25,0,26,4,2,0
t-lc.ru,3,3,0,0,0,0,3,0
spb-vodolei.spb24.net,2,2,0,0,2,0,0,0
remont-bez-zabot.ru,7,2,5,0,1,1,0,5
school212.ru,6,1,5,0,1,4,1,0
necton-sea.ru,5,5,0,0,2,1,0,2
rus-ruble.ru,2,2,0,0,0,0,2,0
1dacha-sad.com,5,3,2,0,3,2,0,0
r-analytics.blogspot.ru,8,8,0,0,8,0,0,0
soft176.ucoz.net,2,0,2,0,2,0,0,0
helpstudy.com.ua,1,0,1,0,1,0,0,0
xn--b1acfn8ae3bgp.xn--p1ai,2,0,2,0,2,0,0,0
belfirms.com,1,1,0,0,0,1,0,0
vilavi.ru,19,10,9,3,3,10,0,3
nasluhu.es,2,0,2,0,0,2,0,0
audiforum.nl,1,1,0,0,0,0,0,1
mn.ru,72,46,20,24,27,4,9,2
risunki-na-nogti.ru,2,0,2,0,2,0,0,0
vseinstrukcii.ru,8,2,6,0,2,6,0,0
xn----btbehcbrvhg4pb4a.xn--p1ai,3,0,3,0,0,3,0,0
ivandriver.blogspot.ru,5,0,5,0,0,5,0,0
nastroenie.com.ua,2,0,1,0,1,0,0,0
faina-ruslana2009.narod.ru,2,2,0,0,0,2,0,0
xn--80aidekhhsbkz9j.xn--p1ai,1,1,0,0,1,0,0,0
kotecorp.ru,11,1,10,0,10,0,1,0
maxsaver.biz,1,0,1,0,0,1,0,0
dzodchestvo.ru,2,0,2,0,2,0,0,0
go-films.ru,3,0,3,0,3,0,0,0
shkolazhisni.ru,2,0,1,0,1,0,0,0
mebelkmk.ru,2,0,2,0,0,2,0,0
tennismag.com.ua,27,0,27,0,27,0,0,0
ipbmr.ru,5,2,3,1,1,3,0,0
president.kg,1,1,0,0,0,1,0,0
knife.clubby.kz,1,1,0,0,0,1,0,0
bvb.vmayke.org,15,0,15,0,0,0,15,0
iskandar.diary.ru,34,34,0,0,34,0,0,0
mytravelnotes.ru,10,2,8,0,10,0,0,0
ipsms.ru,2,0,2,2,0,0,0,0
russian-master.com,6,5,1,6,0,0,0,0
happinesstrees.ru,2,0,2,0,2,0,0,0
audi-club.ru,3,3,0,1,1,1,0,0
homemade-product.ru,4,3,0,0,1,2,0,0
wm-earn-help.ucoz.ru,9,0,9,0,9,0,0,0
bank-klient.ru.6716103.yupiromo.ru,1,0,1,0,1,0,0,0
pinro.ru,1,0,1,0,1,0,0,0
nevestablag.ru,70,0,70,0,0,70,0,0
applications.marykayintouch.ru,19,0,19,0,19,0,0,0
kubik777.ru,3,1,1,0,2,0,0,0
cornish-rex.ucoz.ru,2,2,0,0,0,2,0,0
mamamu.ru,2,2,0,0,2,0,0,0
maestria.su,1,0,1,0,1,0,0,0
lana-group.ru,5,5,0,0,5,0,0,0
karta-repetitorov.ru,2,2,0,0,2,0,0,0
obmen.1cbit.ru,1,0,1,0,1,0,0,0
girafejournal.com,22,6,16,4,10,7,1,0
20.seek-love.net,5,5,0,0,0,5,0,0
otdkna.ucoz.ru,2,0,2,0,0,0,2,0
unishop.by,2,0,2,0,1,1,0,0
2012-konec-sveta.ru,1,1,0,0,0,1,0,0
sergeyabramov.ru,6,6,0,0,6,0,0,0
strife.mail.ru,24,18,6,0,16,8,0,0
tuzzyar.akdix.e-autopay.com,1,1,0,0,0,1,0,0
chusovoi.rublemap.ru,2,2,0,0,0,2,0,0
roseuroshop.ru,2,2,0,0,0,1,1,0
chat-ua.com,1,0,1,1,0,0,0,0
spb.docdoc.ru,16,0,16,0,0,0,16,0
vniitfa.ru,14,14,0,0,0,0,14,0
beremday.ru,5,0,4,0,2,2,0,0
anaid.com.ua,6,0,6,0,6,0,0,0
xn--80aiifkqki.xn--p1ai,3,0,3,1,1,0,0,1
bazi.by,7,7,0,7,0,0,0,0
house.jofo.ru,31,15,14,5,13,5,5,1
prazdnikum.ru,1,0,1,0,1,0,0,0
klevoe-mesto.net,9,9,0,0,0,0,0,9
evamed.ru,2,1,0,0,0,1,0,0
doska24.info,5,0,5,0,0,5,0,0
facepsy.ru,1,0,1,0,0,1,0,0
g.proindi.ru,1,0,1,0,0,0,1,0
slackware.ru,1,1,0,1,0,0,0,0
www41.zippyshare.com,2,2,0,0,1,1,0,0
aleksandriya52.gidm.ru,1,0,1,0,1,0,0,0
izhklining.ru,1,1,0,0,1,0,0,0
xcams.com,1,1,0,0,0,1,0,0
small-games.biz,1,1,0,0,0,1,0,0
snegohod.masteraero.ru,1,1,0,0,0,0,0,1
rapminus.3dn.ru,4,1,0,0,1,0,0,0
vzhelezke.ru,2,0,2,0,0,0,2,0
avtodom.ru,5,3,2,0,5,0,0,0
hdto.ru,1,1,0,0,0,0,1,0
time4eat.ru,6,0,6,0,2,4,0,0
obninsk-food.ru,6,6,0,0,6,0,0,0
kodeksy-by.com,1,0,1,0,1,0,0,0
agat-mitsubishi.ru,1,0,1,1,0,0,0,0
iverskiy.od.ua,1,0,1,0,1,0,0,0
man-and-woman.mirtesen.ru,8,0,4,0,2,0,0,2
ebay.co.uk,1115,498,86,15,119,342,58,50
paleo.ru,4,2,1,1,1,1,0,0
home-secret.ru,4,1,3,1,0,3,0,0
officehelp.spb.ru,1,0,1,0,0,1,0,0
madplace.narod.ru,2,2,0,0,2,0,0,0
nyanda.narod.ru,2,2,0,0,0,2,0,0
parfumstudio.ua,1,1,0,0,1,0,0,0
cssstickyfooter.com,1,1,0,0,0,1,0,0
delodom.com,6,2,4,0,6,0,0,0
edupostrane.ru,1,1,0,0,0,0,1,0
day2buy.com,1,0,1,0,0,1,0,0
klerk.ru,60,23,31,14,18,15,7,0
fixforpc.ru,1,0,1,0,1,0,0,0
pravo.ua,4,1,3,0,0,3,1,0
turnoffthelights.com,6,3,3,2,2,1,1,0
pttnews.ru,5,5,0,0,4,1,0,0
fortaill.3dn.ru,1,0,1,0,1,0,0,0
azerbaycan.us,6,6,0,0,0,6,0,0
biznes21vek.wix.com.usrfiles.com,2,2,0,0,0,2,0,0
vampiress.ru,1,0,1,0,1,0,0,0
makeupandbeautyblog.com,30,0,30,0,0,0,30,0
simplebuild.ru,30,7,23,0,24,6,0,0
perm.propartner.ru,1,1,0,0,0,0,0,1
engels.slanet.ru,2,1,0,0,1,0,0,0
elit-fashion.com,4,0,3,0,3,0,0,0
degtyarsk.bolshoiural.ru,1,0,1,0,0,1,0,0
infuza.com,2,2,0,0,2,0,0,0
itshaman.ru,3,3,0,0,2,1,0,0
perm.blizko.ru,116,95,21,0,21,28,48,19
grankin.ru,7,4,3,0,1,3,0,3
civfanatics.ru,102,102,0,0,67,35,0,0
sexywomeninlingerie.com,15,14,0,0,0,12,2,0
prazdnitsa.ru,12,7,5,0,2,5,5,0
russia-rating.ru,1,0,1,1,0,0,0,0
amurskaya-obl.irr.ru,5,5,0,0,5,0,0,0
calc4u.ru,3,2,0,0,2,0,0,0
doktor-ajbolit.ru,1,0,1,0,1,0,0,0
xxxmaturevideo.com,2,2,0,0,1,1,0,0
bitcoinru.info,1,0,1,0,1,0,0,0
forum.byw.ru,4,4,0,0,4,0,0,0
webhosting.info,1,1,0,0,0,1,0,0
patriotrus.info,1,1,0,0,0,1,0,0
td-plast.ru,4,2,2,0,0,3,1,0
arsenyev.net,1,1,0,0,1,0,0,0
mos.org.ulvo.ru,8,6,2,0,0,3,5,0
fantasticfilm.ru,26,4,22,0,4,3,19,0
anidream.net,6,1,5,0,6,0,0,0
bowandtie.ru,14,3,11,8,3,3,0,0
mirvkotorommyzivem.ru,210,185,8,2,8,23,29,131
sirexcel.ru,5,3,2,2,0,3,0,0
aquafanat.com.ua,8,8,0,1,5,1,1,0
51834.ru.all.biz,2,2,0,0,0,0,0,2
slovorus.ru,38,6,30,1,12,23,0,0
vseofishing.net,5,5,0,0,2,3,0,0
morak-1.at.ua,2,2,0,0,2,0,0,0
irlita.ru,1,1,0,0,0,1,0,0
resume-bank.ru,10,10,0,0,0,0,10,0
shop.turnichok.ru,4,4,0,0,0,4,0,0
techbeasts.com,1,1,0,0,1,0,0,0
ushanovaksenia.blogspot.com,4,0,4,1,0,0,3,0
krasnodarskiy-kray.promportal.su,2,1,0,0,0,0,0,1
med74.ru,2,0,2,0,2,0,0,0
24reklama.3dn.ru,4,4,0,0,4,0,0,0
koktelclub.ru,1,1,0,0,1,0,0,0
alternativa.by,1,1,0,0,1,0,0,0
goplay.com.ua,1,0,1,0,0,1,0,0
flaimer.ru,11,7,3,0,1,1,1,7
xn----dtbkge0ah0b5f2a.xn--p1ai,4,4,0,2,0,2,0,0
stul-spb.ru,2,2,0,0,2,0,0,0
ruchess.ru,1,0,1,0,0,1,0,0
khv.mts.ru,5,5,0,0,5,0,0,0
childnmom.ru,1,0,1,0,1,0,0,0
unitedbook.borda.ru,16,16,0,0,16,0,0,0
citysmile.org,2,0,2,0,2,0,0,0
alkospb.ucoz.ru,2,0,2,2,0,0,0,0
bestsportblog.ru,2,2,0,0,2,0,0,0
pc-polzovatel.ru,2,1,0,0,1,0,0,0
travel.avio.su,1,1,0,0,1,0,0,0
monring.ru,1,0,1,0,1,0,0,0
samara.compromesso.ru,2,2,0,0,2,0,0,0
okunomikata.info,1,1,0,0,0,0,1,0
vnutri-doma.ru,12,6,6,0,4,3,4,1
ultra-line.net,2,0,2,0,2,0,0,0
tejkovo-37.pulset.ru,1,0,1,0,0,0,0,1
stiroblok.ru,2,2,0,0,0,1,1,0
pravo.vuzllib.su,12,12,0,0,12,0,0,0
dvs.at.ua,1,0,1,0,1,0,0,0
worldofporncraft3d.com,2,2,0,2,0,0,0,0
zasasa.com,1,0,1,0,1,0,0,0
inoar.ru,3,3,0,0,0,0,3,0
cs-hlds.ru,7,7,0,0,7,0,0,0
single.soccermanager.com,1,1,0,1,0,0,0,0
zavedi.ru,1,1,0,0,0,1,0,0
asterial.ru,2,0,2,0,0,0,2,0
bratsk.rusplt.ru,21,18,3,0,2,10,7,2
uzel.org,3,1,2,0,1,0,0,2
holidayseveryday.ru,4,1,3,0,1,2,1,0
dogstav.ru,1,0,1,0,1,0,0,0
experts.in.ua,1,1,0,0,1,0,0,0
ero.1zoom.ru,7,7,0,0,0,7,0,0
ktv.colomna.ru,6,0,6,0,0,6,0,0
psymarket.ru,19,0,19,0,18,0,1,0
blogaboutlife.ru,6,0,6,0,2,1,3,0
zombigri.ru,1,0,1,0,0,1,0,0
mar-li.ru,9,0,9,2,1,6,0,0
lagunacity.ru,6,0,6,0,6,0,0,0
goblin.ws,9,9,0,0,9,0,0,0
sexbes.net,6,5,1,0,2,4,0,0
pnevmat24.ru,9,9,0,0,0,8,1,0
parallel45.ru,1,0,1,0,1,0,0,0
nomera05.ru,2,2,0,0,0,2,0,0
airportsbase.ru,3,1,2,0,0,3,0,0
selflovers.ru,2,2,0,0,2,0,0,0
lifesocio.com,2,1,1,1,1,0,0,0
hozyayka.org,2,2,0,0,0,0,2,0
irkutsk.autobariga.ru,2,2,0,0,0,0,2,0
kremlingremlin.ru,1,1,0,0,0,1,0,0
mobilsvar.ru,2,2,0,0,2,0,0,0
kopikot.ru,20,0,20,0,3,0,14,3
coding4.net,1,0,1,0,0,0,1,0
perfectfood.ru,207,24,175,11,55,86,31,16
izhevsk.webprorab.com,1,1,0,0,0,0,1,0
virteks.ru,1,1,0,0,0,1,0,0
autorenter.ru,44,22,12,0,9,24,1,0
pda.smi-ru.com,1,1,0,0,0,0,1,0
yro-med.ru,1,0,1,1,0,0,0,0
audiorazgovornik.ru,1,0,1,0,1,0,0,0
womenlyinfo.ru,1,1,0,0,1,0,0,0
novosti-tchasa.com,1,1,0,0,0,1,0,0
russian-president.mirtesen.ru,135,115,18,1,15,64,25,28
sportpitinfo.ru,1,1,0,0,0,1,0,0
1c.ru,12,8,4,0,6,4,2,0
uobd2.net,7,7,0,0,0,7,0,0
multmoda.ru,1,0,1,0,1,0,0,0
centr33.ucoz.net,1,1,0,0,0,0,1,0
post.rmbn.net,1,1,0,0,0,0,1,0
rustorka.com,18,14,2,1,12,1,2,0
neodom.info,1,1,0,0,0,1,0,0
tagfly.ru,5,4,1,0,0,2,3,0
aquapost.su,5,5,0,0,5,0,0,0
astrolohinq.narod.ru,2,2,0,0,0,2,0,0
fincake.ru,19,15,1,0,6,6,3,1
fishmapia.com,1,1,0,0,1,0,0,0
kino.gorodovoy.spb.ru,1,1,0,0,1,0,0,0
ntagil.ru,5,1,4,0,2,1,2,0
teleserial.org,87,33,45,4,42,16,8,8
dragtimes.com,8,1,7,2,5,0,1,0
kvil.cbslocal.com,2,0,2,0,2,0,0,0
svarka-lib.com,4,0,4,0,0,4,0,0
stomatologiya-spb.ru,1,1,0,0,1,0,0,0
sbr2t.ru,2,2,0,0,0,2,0,0
alumni.stanford.edu,2,2,0,0,2,0,0,0
ruskoetv.ru,1,0,1,0,1,0,0,0
yka.kz,6,2,4,2,1,2,0,1
2x4.ru,1,1,0,0,1,0,0,0
login.meetcheap.com,5,0,5,0,0,5,0,0
auto-dress.prostoprint.com,4,0,3,0,3,0,0,0
sputres.ru,3,1,2,0,2,0,0,1
opbitde.bos.ru,1,0,1,0,0,0,1,0
tszh.org,1,0,1,1,0,0,0,0
bumtoys.nichost.ru,3,0,3,0,2,1,0,0
nder.gayray.ru,1,1,0,0,0,0,1,0
itknigi.net,1,1,0,0,1,0,0,0
industrystock.ru,1,0,1,0,0,1,0,0
xn--80aae0aajwdrlf.xn--p1ai,2,0,2,0,0,0,2,0
bootstrap-ru.com,3,3,0,0,0,3,0,0
uroki1c.ru,6,2,4,0,2,1,3,0
1malchik-1devochka.znakomstvas2014.com,8,8,0,0,0,8,0,0
autovid.com.ua,6,6,0,0,5,0,1,0
supereva.com,1,1,0,0,1,0,0,0
attrade.ru,22,21,0,0,4,0,17,0
tesis.lebedev.ru,33,33,0,0,0,33,0,0
strizhem.ru,1,0,1,0,0,1,0,0
is74.ru,1,0,1,0,1,0,0,0
onmults.ru,17,8,9,3,7,3,1,3
duo.in.ua,43,42,1,0,42,1,0,0
evropeiskie-dveri.kemerovo7.ru,2,0,2,0,2,0,0,0
lang-8.com,1,0,1,0,0,1,0,0
nn.hh.ru,23,4,17,7,13,1,0,0
dom-kopch-hobby.ru,2,2,0,2,0,0,0,0
juravskiy.ru,1,1,0,0,0,1,0,0
fish18.ru,6,6,0,0,0,6,0,0
forumbiodiversity.com,2,2,0,0,2,0,0,0
benefit.by,112,57,49,1,61,33,11,0
clasna.su,1,0,1,0,0,1,0,0
worldofwarships.ru,361,312,14,21,238,49,18,0
mobzvonok.net,1,1,0,0,0,1,0,0
polbina30.ru,4,0,4,0,0,0,4,0
shina.autodealerr.ru,3,2,1,0,1,0,1,1
krichev.telkniga.com,4,0,4,0,0,4,0,0
sheknows.com,2,2,0,0,0,2,0,0
iarmarka-mebeli.ru,3,3,0,0,3,0,0,0
saransk.tvoyaspravka.ru,1,0,1,0,0,1,0,0
trafmarket.ru,17,0,17,0,0,17,0,0
omsk.bezformata.ru,7,1,6,0,5,2,0,0
kanevskaya.tv,2,2,0,0,0,0,0,2
androidobzor.com,3,2,0,0,0,0,2,0
forexsovetniki.ru,1,1,0,0,0,1,0,0
vkostume.ru,8,0,8,0,8,0,0,0
camsexexpress.com,1,1,0,0,0,1,0,0
webadvisor.ru,5,2,3,0,0,5,0,0
n4k.ru,28,14,12,0,13,4,9,0
эфирныемасла.рф,12,0,12,0,0,12,0,0
sims-city.ucoz.ru,5,0,5,5,0,0,0,0
nenazvany.diary.ru,13,13,0,0,13,0,0,0
novostrojka.by,97,74,23,0,95,2,0,0
kopchu.ru,7,1,6,0,6,1,0,0
likadress.ru,1,1,0,0,0,0,1,0
yaroslavl.promportal.su,2,2,0,0,2,0,0,0
mybook.ru,32,2,29,0,5,4,22,0
frenzyshopper.ru,29,29,0,0,2,13,14,0
vkulake.com,41,38,3,0,2,34,4,1
digiex.net,1,0,1,1,0,0,0,0
freshrecords.ru,16,9,1,3,2,3,0,2
delight2000.com,2,2,0,1,1,0,0,0
kamnistar.com,2,0,2,0,0,2,0,0
forum.mirsnov.com,14,8,6,0,11,2,1,0
svopi.ru,102,77,24,1,26,44,28,2
sotino.ru,14,0,1,1,0,0,0,0
drupalcookbook.ru,9,9,0,0,0,9,0,0
irkutsk7.ru,7,4,3,0,4,3,0,0
xpic.biz,1,1,0,0,0,1,0,0
polza-sovet.ru,34,23,8,0,2,9,6,14
cisr.ru,43,42,1,43,0,0,0,0
hockey.kulichki.net,81,81,0,0,5,11,65,0
mdetkam.ru,1,0,1,0,0,1,0,0
tibetdog.creped.net,5,0,5,0,4,1,0,0
mnogorazovyipodguznik.ru,1,1,0,0,1,0,0,0
fhn.gov.az,4,4,0,0,0,3,1,0
spbnovo.ru,2,2,0,0,2,0,0,0
skachatreferat.ru,142,43,97,58,29,53,0,0
spasemstranu.com,1,1,0,1,0,0,0,0
sekret-remonta.ru,1,1,0,0,1,0,0,0
radiovtomske.ru,14,14,0,0,14,0,0,0
fetishshrine.com,96,86,0,0,63,15,7,1
pulsat-tel.ru,5,5,0,0,4,1,0,0
kungfu-project.ru,1,1,0,0,0,1,0,0
babysport.ru,1,0,1,0,0,0,1,0
ifight.ru,5,5,0,0,0,5,0,0
selfcreation.ru,9,7,2,0,7,2,0,0
production.reebok.adidasgroup.demandware.net,2,2,0,0,0,0,2,0
vipzapchasti.com,6,6,0,0,0,0,6,0
tver.rusplt.ru,1,1,0,0,0,1,0,0
moskva.openrussia.ru,1,0,1,0,0,1,0,0
tiensperm.ru,1,0,1,0,1,0,0,0
ironhorse.ru,1,0,1,1,0,0,0,0
70ribalka.com,12,12,0,0,1,11,0,0
stroilider.chelyab.ru,2,0,2,0,2,0,0,0
fitdeal.ru,9,5,3,1,2,4,1,0
sashagrey.ucoz.com,3,0,3,0,3,0,0,0
tucson-club.ru,232,231,0,0,3,217,11,0
